Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
none,Perturbator,The Uncanny Valley,Blood Music (2),"Box, Ltd, S/Edition + 2xLP, Album, Pin + 12"", EP, ",5,2016,8550174,Synthwave,2020-01-24 11:08:56,Mint (M),Mint (M),"Sealed, never played."
"BLOOD 200, VOID001",Perturbator,New Model,"Blood Music (2), Music Of The Void","12"", EP, Ltd, Cle",5,2017,11081591,Synthwave,2019-10-11 12:49:59,Mint (M),Mint (M),"Never played, still in record cover and contains the sleeve."
"88691963511, 88691963511 S1",Death Grips,The Money Store,"Epic, Epic","LP, Album",5,2012,3555784,Death Grips,2019-08-15 21:30:04,Mint (M),No Cover,"Sleeve was removed by store, but was never played."
2547958037,Death Grips,Bottomless Pit,"Harvest, Third Worlds","LP, Album, Ltd, Yel",5,2016,8836215,Death Grips,2019-08-15 21:27:29,Mint (M),Mint (M),Never opened (sealed).
INV 132LP,Power Glove (2),Far Cry 3: Blood Dragon (Original Game Soundtrack By Power Glove),Invada Records,"2xLP, Album, RP, Pin",5,2019,13243493,Synthwave,2019-11-01 12:10:13,Mint (M),Mint (M),"Ordered from Invada site, still sealed."
JNR235,Dale Crover,The Fickle Finger Of Fate,Joyful Noise Recordings,"CD, Album",,2017,10655670,Uncategorized,2020-01-26 12:41:36,Mint (M),Mint (M),Got it from Joyful Noise Recordings with other order.
JNR311,Magic Sword,Awakening,Joyful Noise Recordings,"LP, Ltd, Num, Pin",5,2019,14306093,Synthwave,2019-10-25 12:41:49,Mint (M),Mint (M),Bought straight from Joyful Noise Recording VIP page. Never played and still has sleeve
6738482,Carpenter Brut,Leather Teeth,No Quarter (2),"LP, Album, Ltd, Pur",5,2018,12628363,Synthwave,2019-08-23 23:13:08,Mint (M),Near Mint (NM or M-),"Never played nor opened, cover has small rip on side."
NQP666,Carpenter Brut,Trilogy,No Quarter (2),"3xLP, Comp, Ltd, S/Edition, Cle",5,2019,13481945,Synthwave,2019-10-17 21:31:26,Mint (M),Mint (M),"Purchased straight from No Quarter Prod. Still sealed, never played."
2567785439,Death Grips,Year Of The Snitch,"Third Worlds, Harvest","LP, Album, Ltd, Cle",5,2018,12542681,Death Grips,2019-08-15 21:27:15,Mint (M),Mint (M),Never opened (sealed).
2577431302,Death Grips,Steroids (Crouching Tiger Hidden Gabber Megamix),"Third Worlds, Harvest","12"", Ltd, Whi",5,2019,13467986,Death Grips,2019-08-15 21:31:23,Mint (M),Mint (M),"Cover never removed, from RSD 2019."
